CVE,CVSS version,CVSS,EPSS,EPSS percentile
CVE-1999-0095,cvssMetricV2,10.0,0.077640000,0.943500000
CVE-1999-0082,cvssMetricV2,10.0,0.015000000,0.870350000
CVE-1999-1471,cvssMetricV2,7.2,0.000420000,0.002880000
CVE-1999-1122,cvssMetricV2,4.6,0.000440000,0.155740000
CVE-1999-1467,cvssMetricV2,10.0,0.004710000,0.758750000
CVE-1999-1506,cvssMetricV2,7.5,0.002380000,0.621810000
CVE-1999-0084,cvssMetricV31,8.4,0.000440000,0.159430000
CVE-1999-0084,cvssMetricV2,7.2,0.000440000,0.159430000
CVE-2000-0388,cvssMetricV2,7.5,0.010630000,0.844100000
CVE-1999-0209,cvssMetricV2,5.0,0.557770000,0.978870000
CVE-1999-1198,cvssMetricV2,7.2,0.000420000,0.002880000
CVE-1999-1391,cvssMetricV2,7.2,0.010790000,0.845140000
CVE-1999-1392,cvssMetricV2,7.2,0.000420000,0.002880000
CVE-1999-1057,cvssMetricV2,4.6,0.000420000,0.002880000
CVE-1999-1554,cvssMetricV2,2.1,0.000420000,0.002880000
CVE-1999-1197,cvssMetricV2,7.2,0.002230000,0.610910000
CVE-1999-1115,cvssMetricV2,7.2,0.000600000,0.284500000
CVE-1999-1258,cvssMetricV2,5.0,0.003860000,0.733750000
CVE-1999-1438,cvssMetricV2,7.2,0.000440000,0.155740000
CVE-1999-1211,cvssMetricV2,7.2,0.000470000,0.203780000
CVE-1999-1212,cvssMetricV2,7.2,0.000470000,0.203780000
CVE-1999-1194,cvssMetricV2,7.2,0.000420000,0.002880000
CVE-1999-1193,cvssMetricV2,10.0,0.014900000,0.869540000
CVE-1999-1123,cvssMetricV2,7.2,0.000420000,0.002880000
CVE-1999-1034,cvssMetricV2,7.2,0.000420000,0.002880000
CVE-1999-1415,cvssMetricV2,4.6,0.000450000,0.186320000
CVE-1999-1090,cvssMetricV2,7.5,0.007160000,0.807570000
CVE-1999-0498,cvssMetricV2,10.0,0.007270000,0.809140000
CVE-1999-1468,cvssMetricV2,6.2,0.000440000,0.155740000
CVE-1999-0167,cvssMetricV2,4.6,0.000440000,0.159430000
CVE-1999-1493,cvssMetricV2,10.0,0.008300000,0.821820000
CVE-1999-1032,cvssMetricV2,10.0,0.003650000,0.726480000
CVE-1999-1059,cvssMetricV2,10.0,0.005030000,0.766910000
CVE-1999-0627,cvssMetricV2,0.0,0.037990000,0.919570000
CVE-1999-1121,cvssMetricV2,7.2,0.000600000,0.281940000
CVE-1999-0117,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-1119,cvssMetricV2,10.0,0.006200000,0.791410000
CVE-1999-1142,cvssMetricV2,7.2,0.000440000,0.155740000
CVE-1999-0168,cvssMetricV2,7.5,0.024980000,0.901090000
CVE-1999-0214,cvssMetricV2,10.0,0.012600000,0.857500000
CVE-1999-1396,cvssMetricV2,7.2,0.000440000,0.155740000
CVE-1999-1395,cvssMetricV2,7.2,0.000670000,0.324800000
CVE-1999-1306,cvssMetricV2,7.5,0.003840000,0.733390000
CVE-1999-1466,cvssMetricV2,7.5,0.002320000,0.618130000
CVE-1999-1021,cvssMetricV2,7.2,0.000440000,0.155740000
CVE-1999-0312,cvssMetricV2,5.0,0.005440000,0.776540000
CVE-1999-1507,cvssMetricV2,7.2,0.001270000,0.488410000
CVE-1999-1218,cvssMetricV2,2.1,0.000450000,0.186320000
CVE-1999-1312,cvssMetricV2,7.2,0.000450000,0.186320000
CVE-1999-1216,cvssMetricV2,7.5,0.003830000,0.732770000
CVE-1999-1162,cvssMetricV2,6.4,0.001150000,0.470490000
CVE-1999-0124,cvssMetricV2,10.0,0.015000000,0.870350000
CVE-1999-1215,cvssMetricV2,4.6,0.000500000,0.230550000
CVE-1999-1138,cvssMetricV2,10.0,0.107650000,0.952160000
CVE-1999-1318,cvssMetricV2,7.2,0.000470000,0.204490000
CVE-1999-0145,cvssMetricV2,7.2,0.000770000,0.362450000
CVE-1999-1137,cvssMetricV2,2.1,0.000440000,0.159430000
CVE-1999-0334,cvssMetricV2,7.2,0.003640000,0.726050000
CVE-1999-0181,cvssMetricV2,6.8,0.003900000,0.735170000
CVE-1999-1242,cvssMetricV2,4.6,0.000420000,0.050480000
CVE-1999-0211,cvssMetricV2,5.0,0.010030000,0.838700000
CVE-1999-0338,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-0120,cvssMetricV2,7.2,0.000440000,0.159430000
CVE-1999-1135,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-1146,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-1388,cvssMetricV2,6.2,0.000440000,0.159430000
CVE-1999-1134,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-0113,cvssMetricV2,10.0,0.014050000,0.865670000
CVE-1999-0423,cvssMetricV2,4.6,0.000420000,0.050480000
CVE-1999-0337,cvssMetricV2,7.5,0.006760000,0.801680000
CVE-1999-0207,cvssMetricV2,7.5,0.054700000,0.932550000
CVE-1999-1239,cvssMetricV2,4.6,0.000420000,0.050480000
CVE-1999-1552,cvssMetricV2,7.2,0.000450000,0.187000000
CVE-1999-1494,cvssMetricV2,2.1,0.000420000,0.002880000
CVE-1999-1219,cvssMetricV2,7.2,0.001210000,0.479680000
CVE-1999-1238,cvssMetricV2,4.6,0.000420000,0.050480000
CVE-1999-1022,cvssMetricV2,6.2,0.000450000,0.188930000
CVE-1999-1248,cvssMetricV2,4.6,0.000420000,0.050480000
CVE-1999-1302,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-1303,cvssMetricV2,7.2,0.000450000,0.187000000
CVE-1999-1304,cvssMetricV2,7.2,0.000450000,0.187000000
CVE-1999-1305,cvssMetricV2,7.2,0.000450000,0.187000000
CVE-2000-0508,cvssMetricV2,5.0,0.010920000,0.845960000
CVE-1999-0077,cvssMetricV2,5.0,0.003000000,0.697470000
CVE-1999-0232,cvssMetricV2,10.0,0.001850000,0.569370000
CVE-1999-0235,cvssMetricV2,10.0,0.001850000,0.569370000
CVE-1999-0242,cvssMetricV2,7.5,0.007270000,0.809140000
CVE-1999-1098,cvssMetricV2,5.0,0.007760000,0.815400000
CVE-1999-1243,cvssMetricV2,4.6,0.000420000,0.002880000
CVE-1999-0151,cvssMetricV2,7.6,0.002750000,0.683790000
CVE-1999-1080,cvssMetricV2,7.2,0.002910000,0.692890000
CVE-1999-0066,cvssMetricV31,9.8,0.012640000,0.857740000
CVE-1999-0066,cvssMetricV2,7.5,0.012640000,0.857740000
CVE-1999-0161,cvssMetricV2,7.5,0.006180000,0.790960000
CVE-1999-0172,cvssMetricV2,7.5,0.015630000,0.872820000
CVE-1999-0203,cvssMetricV2,10.0,0.015000000,0.870350000
CVE-1999-1580,cvssMetricV2,7.2,0.000440000,0.155740000
CVE-1999-0164,cvssMetricV2,6.2,0.000440000,0.159430000
CVE-1999-0155,cvssMetricV2,7.5,0.004880000,0.763220000
CVE-1999-0245,cvssMetricV2,4.6,0.000430000,0.124360000
CVE-1999-0218,cvssMetricV2,5.0,0.038410000,0.919980000
CVE-1999-0073,cvssMetricV2,10.0,0.010630000,0.844090000
CVE-1999-0099,cvssMetricV2,10.0,0.007320000,0.809740000
CVE-1999-0241,cvssMetricV2,10.0,0.005780000,0.783430000
CVE-1999-0080,cvssMetricV2,10.0,0.007270000,0.809140000
CVE-1999-0123,cvssMetricV2,3.7,0.000420000,0.050480000
CVE-1999-0316,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-0325,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-0208,cvssMetricV2,10.0,0.547850000,0.978590000
CVE-1999-1186,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-1319,cvssMetricV2,10.0,0.003180000,0.706590000
CVE-1999-1491,cvssMetricV2,7.2,0.000420000,0.002880000
CVE-1999-0103,cvssMetricV2,5.0,0.875490000,0.989560000
CVE-1999-0143,cvssMetricV2,4.6,0.000440000,0.159430000
CVE-1999-0233,cvssMetricV2,10.0,0.159860000,0.960520000
CVE-1999-0142,cvssMetricV2,7.5,0.034980000,0.916630000
CVE-1999-0067,cvssMetricV2,10.0,0.136520000,0.957370000
