CVE,CVSS version,CVSS,EPSS,EPSS percentile
CVE-1999-0191,cvssMetricV2,6.4,0.967820000,0.998030000
CVE-1999-0256,cvssMetricV2,7.5,0.962070000,0.996760000
CVE-1999-0012,cvssMetricV2,5.0,0.933890000,0.993330000
CVE-1999-0278,cvssMetricV2,5.0,0.905340000,0.991290000
CVE-1999-0449,cvssMetricV2,7.8,0.901310000,0.991030000
CVE-1999-0736,cvssMetricV2,5.0,0.905340000,0.991290000
CVE-1999-0737,cvssMetricV2,5.0,0.946320000,0.994560000
CVE-1999-0738,cvssMetricV2,5.0,0.946320000,0.994560000
CVE-1999-0739,cvssMetricV2,5.0,0.946320000,0.994560000
CVE-1999-1510,cvssMetricV2,7.5,0.944630000,0.994350000
CVE-1999-1053,cvssMetricV2,7.5,0.960080000,0.996420000
CVE-1999-0154,cvssMetricV2,5.0,0.901220000,0.991030000
CVE-1999-0815,cvssMetricV2,5.0,0.953690000,0.995440000
CVE-1999-1035,cvssMetricV2,5.0,0.964230000,0.997240000
CVE-1999-1148,cvssMetricV2,5.0,0.964230000,0.997240000
CVE-1999-1451,cvssMetricV2,5.0,0.965060000,0.997410000
CVE-2000-0071,cvssMetricV2,5.0,0.922010000,0.992440000
CVE-2000-0097,cvssMetricV2,5.0,0.930040000,0.992990000
CVE-2000-0098,cvssMetricV2,5.0,0.963770000,0.997140000
CVE-2000-0126,cvssMetricV2,5.0,0.956060000,0.995800000
CVE-2000-0246,cvssMetricV2,5.0,0.958640000,0.996170000
CVE-2000-0302,cvssMetricV2,5.0,0.966780000,0.997820000
CVE-2000-0284,cvssMetricV2,7.5,0.920030000,0.992310000
CVE-2000-0380,cvssMetricV2,7.1,0.959690000,0.996340000
CVE-2000-0413,cvssMetricV2,5.0,0.905340000,0.991290000
CVE-2000-0778,cvssMetricV2,5.0,0.970940000,0.998850000
CVE-2000-0884,cvssMetricV2,7.5,0.937930000,0.993680000
CVE-2000-0980,cvssMetricV2,5.0,0.915520000,0.991980000
CVE-2001-0245,cvssMetricV2,5.0,0.922010000,0.992440000
CVE-2000-1200,cvssMetricV2,5.0,0.949550000,0.994970000
CVE-2001-0986,cvssMetricV2,5.0,0.919190000,0.992220000
CVE-2001-0727,cvssMetricV2,7.5,0.960600000,0.996510000
CVE-2001-0876,cvssMetricV2,7.5,0.951400000,0.995170000
CVE-2001-0877,cvssMetricV2,5.0,0.942880000,0.994170000
CVE-2002-0081,cvssMetricV2,7.5,0.936360000,0.993550000
CVE-2002-0073,cvssMetricV2,5.0,0.964960000,0.997390000
CVE-2002-0079,cvssMetricV2,7.5,0.959570000,0.996310000
CVE-2002-0150,cvssMetricV2,7.5,0.943340000,0.994210000
CVE-2002-0228,cvssMetricV2,5.0,0.962300000,0.996800000
CVE-2002-0597,cvssMetricV2,5.0,0.960900000,0.996540000
CVE-2002-0186,cvssMetricV2,7.5,0.966310000,0.997710000
CVE-2002-0371,cvssMetricV2,7.5,0.909030000,0.991530000
CVE-2002-0642,cvssMetricV2,7.2,0.974240000,0.999730000
CVE-2002-0643,cvssMetricV2,4.6,0.968920000,0.998300000
CVE-2002-0409,cvssMetricV2,5.0,0.946320000,0.994560000
CVE-2002-0421,cvssMetricV2,5.0,0.968860000,0.998270000
CVE-2002-0500,cvssMetricV2,5.0,0.949550000,0.994970000
CVE-2002-0649,cvssMetricV2,7.5,0.962970000,0.996990000
CVE-2002-1123,cvssMetricV2,7.5,0.962850000,0.996950000
CVE-2002-0965,cvssMetricV2,7.5,0.903280000,0.991150000
CVE-2002-0840,cvssMetricV2,6.8,0.967430000,0.997960000
CVE-2002-1214,cvssMetricV2,7.5,0.959760000,0.996350000
CVE-2002-0029,cvssMetricV2,7.5,0.930950000,0.993050000
CVE-2002-1142,cvssMetricV2,7.5,0.964420000,0.997290000
CVE-2002-1254,cvssMetricV2,7.5,0.931910000,0.993130000
CVE-2002-1643,cvssMetricV2,7.5,0.965130000,0.997420000
CVE-2002-1258,cvssMetricV2,5.0,0.920250000,0.992320000
CVE-2002-1751,cvssMetricV2,5.0,0.932270000,0.993190000
CVE-2002-2062,cvssMetricV2,4.3,0.920410000,0.992330000
CVE-2003-0027,cvssMetricV2,5.0,0.902460000,0.991120000
CVE-2003-0028,cvssMetricV2,7.5,0.963380000,0.997060000
CVE-2003-0109,cvssMetricV2,7.5,0.971790000,0.999070000
CVE-2003-0228,cvssMetricV2,7.5,0.953230000,0.995380000
CVE-2003-0245,cvssMetricV2,5.0,0.925880000,0.992700000
CVE-2003-0344,cvssMetricV2,7.5,0.957280000,0.995970000
CVE-2003-0349,cvssMetricV2,7.5,0.926720000,0.992740000
CVE-2003-0505,cvssMetricV2,5.0,0.936790000,0.993590000
CVE-2003-0352,cvssMetricV2,7.5,0.953850000,0.995490000
CVE-2003-0605,cvssMetricV2,7.5,0.948250000,0.994800000
CVE-2003-0768,cvssMetricV2,6.8,0.946090000,0.994530000
CVE-2003-0772,cvssMetricV2,7.5,0.928190000,0.992850000
CVE-2003-0725,cvssMetricV2,7.5,0.915690000,0.991990000
CVE-2003-0747,cvssMetricV2,5.0,0.915850000,0.992000000
CVE-2003-0749,cvssMetricV2,6.8,0.926840000,0.992760000
CVE-2003-0717,cvssMetricV2,7.5,0.952860000,0.995330000
CVE-2003-0838,cvssMetricV2,7.5,0.950410000,0.995090000
CVE-2003-0812,cvssMetricV2,7.5,0.958210000,0.996100000
CVE-2003-0822,cvssMetricV2,7.5,0.969030000,0.998340000
CVE-2003-1200,cvssMetricV2,7.5,0.951240000,0.995160000
